1778160932001,36,Q,1,1,1778160932000,1,
1778160932001,37,A,2,3,1778160932000,1,
1778160932001,35,Q,2,4,1778160932000,1,
1778160932001,36,Q,2,5,1778160932001,0,
1778160932002,37,Q,3,1,1778160932002,0,
1778160932002,36,Q,3,3,1778160932002,0,
1778160932002,35,D,2,5,1778160932002,0,
1778160932002,37,Q,1,1,1778160932002,0,
1778160932002,36,Q,1,3,1778160932002,0,
1778160932002,35,Q,1,3,1778160932002,0,
1778160932002,36,Q,5,5,1778160932002,0,
1778160932002,37,Q,3,5,1778160932002,0,
1778160932002,35,Q,3,2,1778160932002,0,
1778160932002,36,D,1,3,1778160932002,0,
1778160932002,37,Q,3,2,1778160932002,0,
1778160932002,35,Q,2,3,1778160932002,0,
1778160932003,36,Q,4,4,1778160932003,0,
1778160932003,35,D,3,4,1778160932003,0,
1778160932003,37,Q,2,2,1778160932003,0,
1778160932003,36,Q,3,4,1778160932003,0,
1778160932003,37,A,4,3,1778160932003,0,
1778160932003,35,Q,3,4,1778160932003,0,
1778160932003,37,Q,3,3,1778160932003,0,
1778160932003,36,D,2,2,1778160932003,0,
1778160932003,35,Q,2,5,1778160932003,0,
1778160932003,36,A,4,2,1778160932003,0,
1778160932003,37,Q,5,5,1778160932003,0,
1778160932003,35,D,5,1,1778160932003,0,
1778160932003,36,Q,2,5,1778160932003,0,
1778160932003,37,Q,5,3,1778160932003,0,
1778160932004,36,Q,2,2,1778160932004,0,
1778160932004,35,Q,4,1,1778160932003,1,
1778160932004,36,Q,5,5,1778160932004,0,
1778160932004,35,A,1,3,1778160932004,0,
1778160932004,37,Q,2,2,1778160932004,0,
1778160932004,35,Q,3,3,1778160932004,0,
1778160932004,37,Q,3,1,1778160932004,0,
1778160932004,36,Q,3,4,1778160932004,0,
1778160932004,37,D,1,3,1778160932004,0,
1778160932004,36,D,3,5,1778160932004,0,
1778160932004,35,Q,2,2,1778160932004,0,
1778160932004,37,Q,4,3,1778160932004,0,
1778160932004,36,Q,3,5,1778160932004,0,
1778160932004,37,D,1,2,1778160932004,0,
1778160932004,35,D,3,2,1778160932004,0,
1778160932005,36,D,2,2,1778160932005,0,
1778160932005,35,D,2,2,1778160932005,0,
1778160932005,37,D,3,5,1778160932005,0,
1778160932005,36,Q,5,3,1778160932005,0,
